C0000100,C0000200,C0005700,m_age_ya,m_HGC
101502,1015,1986,24,20
101503,1015,1991,28,20
101504,1015,1996,34,20
101601,1016,1995,35,12
101701,1017,1989,27,16
101702,1017,1992,30,16
101801,1018,1992,27,16
101802,1018,1995,30,16
101901,1019,1999,34,17
101902,1019,2002,38,17
101903,1019,2005,40,17
102401,1024,1991,28,18
102501,1025,1973,14,10
102502,1025,1976,18,10
102503,1025,1980,21,10
102504,1025,1982,23,10
102505,1025,1983,24,10
103001,1030,1979,20,10
103002,1030,1983,24,10
103003,1030,1987,28,10
103004,1030,1996,38,10
103301,1033,1985,21,11
103302,1033,1989,25,11
103303,1033,1993,29,11
103304,1033,2005,41,11
103401,1034,1973,15,9
103402,1034,1976,18,9
103403,1034,1978,21,9
103501,1035,1984,20,12
103502,1035,1985,21,12
103601,1036,1996,33,12
103801,1038,1991,26,14
103802,1038,1994,29,14
103901,1039,1988,28,16
104001,1040,1985,25,12
104801,1048,1977,19,12
104802,1048,1980,22,12
104901,1049,1992,30,18
104902,1049,1999,36,18
104903,1049,1999,36,18
105001,1050,2002,41,16
105601,1056,1980,20,12
105602,1056,1984,24,12
105603,1056,1991,32,12
105701,1057,1973,16,11
105702,1057,1976,19,11
105703,1057,1978,21,11
105704,1057,1980,22,11
106301,1063,1978,17,12
106302,1063,1983,23,12
