,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,momexpectyos,cfemale1,m_HGC_ya,HGC_ya,piatreadingrecognition,piatreadingcomprehension,piatmathraw,dad_distance_ya,lnexpectedyos,numberofsiblings,behaveproblemindexpercentilescor,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,phispanic,pblack,psex,pbizowner,phoursworked79,phoursworked2018,pjobnumberavg,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,p1stbirthaftermarriage,abort_#,foreign_lang_child,pfamilyattitudetofemaleworkingla,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,mincome20_40,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
5217,5217.0,547702.0,5477.0,1981.0,19.0,3.0,1.0,6.0,3.0,33.0,25.0,39.0,55.0,1.098612,2.0,997.0,5477.0,,19.0,5.0,,5.0,0.0,,1.0,0.0,0.0,0,1,2,0,0,0,10.9615,67.899,2.0,1.0,17.0,17.0,0.0,0.0,0.0,3.0,0.0,,3.0,,0.0,,1.0,16792.33756,1.0,0.0,1.0,0.0,0.0
5218,5218.0,547801.0,5478.0,1985.0,28.0,5.0,0.0,5.0,4.0,39.0,36.0,51.0,5.0,1.609438,2.0,998.0,5478.0,32.0,21.0,4.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,0,10.9615,60.153,0.0,1.0,26.0,26.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,,0.666666667,18799.14523,1.0,0.0,1.0,0.0,0.0
5219,5219.0,547802.0,5478.0,1999.0,42.0,5.0,0.0,5.0,2.0,42.0,42.0,51.0,5.0,1.609438,3.0,400.0,5478.0,32.0,21.0,4.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,1,120,1300,6.10714,60.153,0.0,1.0,26.0,26.0,1.0,0.0,0.0,3.33333,0.0,1.0,3.0,2.0,0.0,,0.666666667,18799.14523,1.0,0.0,1.0,0.0,0.0
5220,5220.0,548001.0,5480.0,1984.0,20.0,5.0,0.0,5.0,4.0,60.0,55.0,50.0,5.0,1.609438,3.0,346.0,5480.0,47.0,43.0,4.0,4.0,5.0,,,1.0,0.0,0.0,0,1,2,1,120,1300,6.10714,8.442,2.0,1.0,28.0,28.0,1.0,0.0,0.0,3.33333,0.0,1.0,3.0,2.0,6.0,1.0,0.333333333,60000.24081,0.0,0.0,0.0,0.0,0.0
5221,5221.0,548002.0,5480.0,1986.0,22.0,5.0,1.0,5.0,2.0,64.0,59.0,57.0,5.0,1.609438,3.0,565.0,5480.0,47.0,43.0,4.0,4.0,5.0,,,1.0,0.0,0.0,0,1,2,0,320,2245,6.57143,8.442,2.0,1.0,28.0,28.0,1.0,0.0,0.0,3.33333,0.0,1.0,3.0,2.0,6.0,1.0,0.333333333,60000.24081,0.0,0.0,0.0,0.0,0.0
5222,5222.0,548301.0,5483.0,1987.0,29.0,4.0,1.0,6.0,4.0,53.0,50.0,55.0,0.0,1.386294,1.0,959.0,5483.0,28.0,28.0,4.0,5.0,6.0,0.0,4.0,1.0,0.0,0.0,0,0,2,0,630,2120,7.15385,23.321,2.0,1.0,23.0,23.0,1.0,0.0,0.0,2.66667,0.0,,3.0,1.0,5.0,2.0,0.0,24525.11638,0.0,0.0,0.0,0.0,0.0
5223,5223.0,548302.0,5483.0,1993.0,34.0,3.0,1.0,6.0,4.0,81.0,61.0,66.0,0.0,1.098612,0.0,760.0,5483.0,28.0,28.0,4.0,5.0,6.0,0.0,4.0,1.0,0.0,0.0,0,0,2,0,0,52,0.0,23.321,2.0,1.0,23.0,23.0,1.0,0.0,0.0,2.66667,0.0,,3.0,1.0,5.0,2.0,0.0,24525.11638,0.0,0.0,0.0,0.0,0.0
5224,5224.0,548501.0,5485.0,1986.0,21.0,2.0,1.0,7.0,7.0,74.0,66.0,64.0,5.0,0.6931472,0.0,782.0,5485.0,34.0,34.0,4.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0,0,2,0,0,0,3.28571,23.139,3.0,1.0,21.0,21.0,1.0,0.0,0.0,3.0,0.0,,3.0,1.0,5.0,2.0,0.0,12570.34393,0.0,0.0,0.0,0.0,0.0
5225,5225.0,548601.0,5486.0,1984.0,21.0,2.0,0.0,6.0,4.0,70.0,63.0,68.0,55.0,0.6931472,0.0,726.0,5486.0,35.0,23.0,5.0,6.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,0,3.28571,22.735,2.0,1.0,18.0,18.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16350.22225,0.0,0.0,0.0,0.0,0.0
5226,5226.0,548701.0,5487.0,1979.0,20.0,2.0,1.0,3.0,5.0,50.0,54.0,23.0,0.0,0.6931472,0.0,819.0,5487.0,51.0,44.0,1.0,1.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,0,3.28571,31.161,1.0,1.0,19.0,19.0,1.0,0.0,0.0,3.0,,1.0,,3.0,7.0,0.0,0.0,52306.15847,0.0,0.0,0.0,0.0,0.0
