"C0000100","C0000200","Y1211300"
182401,1824,3
182402,1824,2
182501,1825,6
182502,1825,6
182503,1825,6
182504,1825,2
182601,1826,8
182602,1826,10
182801,1828,6
182901,1829,3
182902,1829,8
182903,1829,2
182904,1829,2
183101,1831,-7
183102,1831,-7
183201,1832,3
183202,1832,2
183203,1832,-7
183301,1833,3
183302,1833,3
183303,1833,7
183401,1834,8
183402,1834,-7
183403,1834,-7
183801,1838,6
183802,1838,3
183803,1838,6
183901,1839,7
183902,1839,6
184001,1840,2
184201,1842,8
184401,1844,8
184402,1844,8
184403,1844,10
184404,1844,8
184405,1844,8
184406,1844,8
184701,1847,10
184801,1848,3
184802,1848,12
184901,1849,7
184902,1849,6
185201,1852,-7
185301,1853,8
185302,1853,8
185303,1853,6
185304,1853,4
185601,1856,3
185801,1858,14
185802,1858,8
186201,1862,7
186202,1862,-7
186203,1862,3
186204,1862,8
186205,1862,8
186301,1863,7
186302,1863,8
186303,1863,9
186501,1865,8
186601,1866,3
186801,1868,3
186802,1868,6
187001,1870,3
187601,1876,14
187602,1876,9
187603,1876,3
187801,1878,10
187802,1878,10
187803,1878,8
188001,1880,8
188002,1880,8
188501,1885,10
188502,1885,6
188601,1886,-7
188602,1886,-7
189201,1892,-7
189601,1896,8
189602,1896,2
189801,1898,10
189802,1898,1
190001,1900,6
190002,1900,8
190003,1900,3
190201,1902,4
190202,1902,3
190401,1904,8
190402,1904,8
190403,1904,6
190501,1905,10
190502,1905,3
190503,1905,6
190504,1905,7
190601,1906,7
190602,1906,3
190603,1906,6
190604,1906,6
190701,1907,-7
191201,1912,10
191202,1912,6
191501,1915,3
192201,1922,-7
192202,1922,-7
192601,1926,7
192602,1926,7
