,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
9830,999703,9997,1990,27,5,55,4
9831,999704,9997,1993,30,5,55,4
9832,1000001,10000,1982,19,4,5,1
9833,1000002,10000,1984,21,4,5,2
9834,1000003,10000,1988,25,4,5,
9835,1000004,10000,1991,27,4,5,
9836,1000201,10002,1986,21,5,100,3
9837,1000202,10002,1990,25,5,100,4
9838,1000203,10002,1992,27,5,100,4
9839,1000801,10008,1984,26,7,5,5
9840,1000802,10008,1986,29,7,5,2
9841,1000803,10008,1988,31,7,5,4
9842,1001101,10011,1987,26,5,0,3
9843,1001102,10011,1992,31,5,0,
9844,1001201,10012,1983,24,6,0,
9845,1001202,10012,1983,24,6,0,
9846,1001203,10012,1984,25,6,0,
9847,1001501,10015,1979,20,2,,
9848,1001502,10015,1990,31,2,,
9849,1001601,10016,1977,18,4,5,
9850,1001602,10016,1979,21,4,5,
9851,1001603,10016,1981,23,4,5,
9852,1002401,10024,1981,21,5,5,4
9853,1002402,10024,1984,24,5,5,4
9854,1002403,10024,1998,38,5,0,3
9855,1002601,10026,1980,16,1,5,2
9856,1002602,10026,1981,17,1,5,2
9857,1002603,10026,1982,18,1,5,2
9858,1002604,10026,1984,20,1,5,2
9859,1002605,10026,1985,21,1,5,1
9860,1002606,10026,1987,23,1,5,3
9861,1002607,10026,1988,24,1,5,3
9862,1002901,10029,1978,18,6,0,4
9863,1002902,10029,1979,19,6,0,5
9864,1003201,10032,1981,16,3,0,5
9865,1003202,10032,1983,19,3,100,3
9866,1003203,10032,1986,21,3,100,3
9867,1003204,10032,1989,25,3,0,2
9868,1003205,10032,1991,26,3,1,3
9869,1003206,10032,1992,27,3,1,2
9870,1003401,10034,1987,27,2,0,
9871,1003402,10034,1991,31,2,0,
9872,1003403,10034,1995,34,2,0,
9873,1003601,10036,1979,22,1,0,4
9874,1003602,10036,1981,24,1,0,5
9875,1003603,10036,1982,25,1,0,5
9876,1003604,10036,1987,30,1,0,4
9877,1003605,10036,1989,32,1,0,4
9878,1003701,10037,2000,37,4,55,2
9879,1003801,10038,1976,18,6,5,5
9880,1003802,10038,1979,21,6,5,5
9881,1004201,10042,1979,20,5,100,3
9882,1004202,10042,1985,25,5,100,2
9883,1004203,10042,1990,31,5,0,4
9884,1004204,10042,1994,35,5,0,2
9885,1004401,10044,1989,26,4,0,
9886,1004701,10047,1982,19,7,0,7
9887,1004801,10048,1986,27,3,0,3
9888,1004802,10048,1989,30,3,0,3
9889,1004803,10048,1991,32,3,0,2
9890,1004901,10049,1981,20,5,0,2
9891,1004902,10049,1984,23,5,0,4
9892,1004903,10049,1988,28,5,0,3
9893,1004904,10049,1994,34,5,0,
9894,1005201,10052,1982,24,6,55,3
9895,1005202,10052,1984,26,6,55,4
9896,1005203,10052,1995,37,6,55,4
9897,1005401,10054,1985,22,7,5,4
9898,1005402,10054,1994,31,7,5,5
9899,1005601,10056,1979,19,5,5,3
9900,1005602,10056,1980,20,5,55,3
9901,1005901,10059,1982,19,3,0,
9902,1005902,10059,1983,20,3,0,
9903,1005903,10059,1986,22,3,0,
9904,1006001,10060,1978,21,4,0,3
9905,1006002,10060,1980,23,4,0,3
9906,1006201,10062,1976,15,6,0,5
9907,1006202,10062,1977,16,6,0,3
9908,1006203,10062,1983,22,6,0,2
9909,1006301,10063,1981,18,4,5,
9910,1006302,10063,1982,19,4,5,
9911,1006601,10066,1975,17,2,0,
9912,1006602,10066,1977,19,2,0,
9913,1006603,10066,1980,22,2,0,
9914,1006604,10066,1982,24,2,0,
9915,1007201,10072,1985,22,2,0,5
9916,1007202,10072,1986,23,2,0,2
9917,1007203,10072,1996,33,2,0,2
9918,1007301,10073,1988,24,3,0,2
9919,1007302,10073,1990,26,3,0,2
9920,1007303,10073,1992,28,3,0,4
9921,1007304,10073,1995,31,3,0,5
9922,1007701,10077,1983,21,5,5,7
9923,1007702,10077,1987,24,5,55,3
9924,1007703,10077,1994,31,5,55,3
9925,1007704,10077,1999,37,5,5,3
9926,1007901,10079,1991,27,6,55,7
