"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
946001,9460,1987,29,14,15,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946101,9461,1984,26,15,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946102,9461,1985,27,15,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946401,9464,1989,31,14,15,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946601,9466,1986,27,14,15,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946602,9466,1988,29,14,15,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
946901,9469,1981,23,15,16,16,16,-7,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947301,9473,1974,16,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947302,9473,1976,18,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947303,9473,1978,20,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947304,9473,1979,21,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947305,9473,1980,22,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947601,9476,1980,18,8,8,8,8,8,8,8,8,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947602,9476,1985,23,8,8,8,8,8,8,8,8,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
947701,9477,1981,17,5,5,7,7,7,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
