R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
45,36,35,4,3,5,2,13,1,0,0,50.629,3,1,26,26,,0,1,,1,3,2,1,1,,10696.6418,37556.92387,37044.51815,26380.09898,29827.28083,36123.65211,35683.71731,44597.65417,43766.93682,72925.05171,64536.19195,70359.39769,53404.75285,40027.32057,,30189.39717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
46,29,26,4,5,10,2,9,1,0,0,78.095,2,1,26,26,0,1,1,1,1,1,0,,1,10584.14804,6714.934286,,,1637.252912,5067.915247,35809.31195,51815.16832,51628.95356,56287.51815,56742.54991,54437.15597,51282.79962,54340.91491,,25757.40348,,40753.80542,,39271.58937,,40639.10862,,41487.34315,,46895.65692,,50480.0907,,,,,,,,,,,,,,,,,,0,0,0,0,0
47,28,29,4,5,5,1,18,1,0,0,75.473,2,1,51,51,,0,0,1,1,1,1,0,1,,30084.30506,47171.49638,51068.5143,51081.46439,31634.99482,21893.12249,48277.97048,60612.26635,61671.5928,63329.65017,62692.30075,70359.39769,75100.4337,56038.24879,73039.13885,64907.20392,,77272.21044,,103242.9737,,85088.44364,,71420.15468,,49784.81178,,74038.19321,,71513.46183,,69115.22954,,72704.82387,,84242.96319,,91999.9409,,93406.76575,,92968.35509,,,0,0,0,0,0
48,,39,4,5,5,,,1,0,0,24.806,2,1,22,22,,0,1,,3,1,3,0,1,,,20056.20337,36054.64691,,38371.05306,45192.84974,,,,,,47941.17116,,20026.78232,16010.92823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
49,30,31,4,5,6,1,18,1,0,0,71.226,4,1,20,20,0,0,0,1,2,1,6,1,1,,,13370.80225,30045.5391,26460.37011,29977.3852,32764.81606,19898.65903,18891.37975,25655.81415,33819.90573,26867.12431,31346.15037,33772.51089,36715.76759,39638.25501,42294.32347,36136.70842,,44633.28733,,44829.18596,,43671.31643,,43102.0849,,47295.57119,,37963.15084,,,,55902.02389,,70766.02857,,468.0164621,,30249.58057,,,,26440.54136,,0,0,0,0,0
50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
51,,26,4,3,2,,,1,0,0,,,0,,,,0,1,,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
52,,,4,5,6,,,0,1,0,69.08,7,1,20,20,,1,0,1,3,1,6,3,1,,,23398.90393,40561.47778,44982.62918,40769.24388,49712.13471,54732.80622,58773.18145,,,,,,,,,,,,,,,,,,,,,,,,,,,333307.9946,,346626.0963,,306317.4832,,,,,,0,0,0,0,0
53,38,40,4,,5,1,18,0,1,0,43.641,1,0,,,,0,0,1,3,1,3,0,0,2146.380781,,875.7248996,6297.126584,1013.583049,1193.643732,,,6684.14278,,,,,,,,,,1570.863575,,,,,,362.8830595,,2579.742969,,6098.402607,,,,,,,,,,,,,,,,,0,0,0,0,0
54,44,46,4,1,4,1,18,1,0,0,,2,1,22,22,,1,0,1,2,,3,,0,,,33427.00562,33050.093,5292.074021,43167.43469,40673.56476,39407.62048,39881.8017,66896.48126,67639.81146,47977.0077,51628.95356,52769.54826,53404.75285,49633.8775,48174.75116,,,,,27169.20361,,52362.11916,,51722.50188,,,,,,,,40656.01738,,,,41185.44867,,38639.97518,,46258.58875,,,,0,0,0,0,0
55,28,28,4,5,5,,,0,1,0,,,0,,,,0,1,1,3,1,2,1,1,,,16713.50281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
56,34,34,4,5,4,,,0,1,0,76.02,0,0,,,,0,0,1,3,1,2,0,0.666666667,,,10796.92282,6009.107819,2646.037011,479.6381633,16940.53972,22987.77861,25188.50634,30407.49148,35610.37133,47977.0077,47941.17116,45733.6085,40053.56464,49633.8775,,33208.33689,,31481.27092,,12226.14163,,3272.632448,,1477.785768,,10668.17395,,13398.75912,,53635.09637,,62000.4265,,29081.92955,,29017.02065,,47839.96927,,32843.59801,,38381.431,,0,0,0,0,0
57,38,34,4,5,5,1,18,0,1,0,30.83,3,1,19,19,0,0,1,1,2,1,1,0,1,,,,23398.90393,18294.72876,29106.40712,23981.90816,27115.70984,27585.33434,20990.42195,29393.90843,36804.01506,42219.76678,43331.44317,40456.65367,43391.36169,43229.50621,46620.72693,50114.39931,,52659.58045,,51621.48686,,56289.2781,,,,64009.04371,,61969.26094,,65203.45049,,98590.84214,,108.572537,,102963.6217,,110252.7292,,114756.8836,,107468.0068,0,0,0,0,0
58,28,25,4,5,8,1,18,1,0,0,91.625,2,1,22,22,0,0,0,1,1,1,2,1,1,,13370.80225,,30164.82192,33569.87505,33894.6373,35028.99598,33941.51229,40543.32197,42175.41185,43908.55745,47941.17116,49251.57838,48398.05727,43229.50621,45066.7027,43774.6259,,42929.0058,,57055.32759,,40580.64235,,,,52155.5171,,,,45936.88254,,45941.29964,,43622.89432,,,,41399.9734,,40031.47103,,38381.431,,,0,0,0,0,0
59,30,27,,,5,1,18,1,0,0,98.841,3,1,26,26,,0,0,1,3,1,2,2,0.333333333,4506.830864,21168.29608,,71221.67154,54732.80622,50377.01267,55138.91788,118144.8671,109625.5435,115862.7474,130662.6785,,144618.7092,101011.575,98115.54082,,82996.07788,,95092.21264,,65452.64895,,,,,,,,,,,,100817.3558,,,,,,,,,,,,,0,0,0,0,0
60,32,29,7,5,5,1,18,0,1,0,82.98,,1,30,30,,0,0,1,3,1,2,1,1,13230.18505,19904.98378,18077.13989,10946.56124,32444.8952,36943.07498,37937.9766,33583.90539,21490.55192,37994.07475,40721.12405,37579.24964,54390.84808,42265.15604,,45934.0362,,45372.57003,,52362.11916,,64037.38328,,65787.07271,,70343.48539,,68358.45616,,,,,,,,,,8895.882452,,8529.206889,,,,,,0,0,0,0,0
