C0000100,C0000200,dad_distance
183403,1834,0
183801,1838,5
183802,1838,5
183803,1838,5
183901,1839,0
183902,1839,0
184001,1840,5
184201,1842,0
184401,1844,0
184402,1844,0
184403,1844,0
184404,1844,0
184405,1844,0
184406,1844,0
184701,1847,5
184801,1848,0
184802,1848,0
184901,1849,0
184902,1849,0
185201,1852,0
185301,1853,55
185302,1853,55
185303,1853,55
185304,1853,5
185601,1856,5
185801,1858,5
185802,1858,0
186201,1862,
186202,1862,5
186203,1862,5
186204,1862,0
186205,1862,0
186301,1863,1
186302,1863,0
186303,1863,1
186501,1865,55
186601,1866,5
186801,1868,55
186802,1868,5
187001,1870,5
187601,1876,0
187602,1876,0
187603,1876,0
187801,1878,0
187802,1878,0
187803,1878,5
188001,1880,5
188002,1880,0
188501,1885,0
188502,1885,0
188601,1886,0
188602,1886,0
189201,1892,0
189601,1896,0
189602,1896,0
189801,1898,0
189802,1898,0
190001,1900,0
190002,1900,0
190003,1900,0
190201,1902,0
190202,1902,0
190401,1904,0
190402,1904,0
190403,1904,0
190501,1905,0
190502,1905,0
190503,1905,0
190504,1905,0
190601,1906,0
190602,1906,0
190603,1906,0
190604,1906,0
190701,1907,0
191201,1912,0
191202,1912,0
191501,1915,5
192201,1922,0
192202,1922,0
192601,1926,0
192602,1926,0
192701,1927,0
192702,1927,0
192703,1927,0
192704,1927,0
192801,1928,0
192802,1928,0
192803,1928,0
193201,1932,5
193301,1933,0
193302,1933,0
193303,1933,0
193401,1934,55
193402,1934,55
193501,1935,0
193502,1935,5
193601,1936,0
193602,1936,0
193701,1937,0
193702,1937,0
193703,1937,0
193801,1938,5
193802,1938,0
193803,1938,0
194001,1940,5
194701,1947,0
194801,1948,5
195101,1951,5
195102,1951,55
195301,1953,55
195302,1953,5
195401,1954,0
195402,1954,0
195403,1954,0
196001,1960,0
196002,1960,0
