"R0000100","T8671700","T8671900","T8672100","T8672400","T8672500"
222,-4,-4,-4,-4,-4
223,-4,-4,-4,-4,-4
224,-4,-4,-4,-4,-4
225,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4
228,-1,-4,-4,0,-4
229,63000,-4,-4,-4,-4
230,-4,-4,-4,-4,-4
231,0,-4,-4,-4,-4
232,-5,-5,-5,-5,-5
233,0,-4,-4,-4,-4
234,147000,-4,-4,-4,-4
235,0,-4,-4,-4,-4
236,110000,-4,-4,-4,-4
237,-4,-4,-4,-4,-4
238,-5,-5,-5,-5,-5
239,-5,-5,-5,-5,-5
240,0,-4,-4,-4,-4
241,-5,-5,-5,-5,-5
242,7000,-4,-4,-4,-4
243,7000,-4,-4,-4,-4
244,-4,-4,-4,-4,-4
245,63257,-4,-4,-4,-4
246,-5,-5,-5,-5,-5
247,35000,-4,-4,-4,-4
248,-4,-4,-4,-4,-4
249,76000,-4,-4,-4,-4
250,56000,-4,-4,-4,-4
251,0,-4,-4,-4,-4
252,0,-4,-4,-4,-4
253,14000,-4,-4,-4,-4
254,59000,-4,-4,-4,-4
255,80000,-4,-4,-4,-4
256,-5,-5,-5,-5,-5
257,-4,-4,-4,-4,-4
258,-4,-4,-4,-4,-4
259,38000,-4,-4,-4,-4
260,0,-4,-4,-4,-4
261,-4,-4,-4,-4,-4
262,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5
265,76000,-4,-4,-4,-4
266,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5
268,-5,-5,-5,-5,-5
269,0,-4,-4,-4,-4
270,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5
272,-5,-5,-5,-5,-5
273,12000,-4,-4,-4,-4
274,-4,-4,-4,-4,-4
275,-1,-4,-4,-4,-4
276,-5,-5,-5,-5,-5
277,-5,-5,-5,-5,-5
278,-5,-5,-5,-5,-5
279,-5,-5,-5,-5,-5
280,-5,-5,-5,-5,-5
281,80000,-4,-4,-4,-4
282,-4,-4,-4,-4,-4
283,35000,-4,-4,-4,-4
284,0,-4,-4,-4,-4
285,80000,-4,-4,-4,-4
286,-4,-4,-4,-4,-4
287,-5,-5,-5,-5,-5
288,-5,-5,-5,-5,-5
289,-4,-4,-4,-4,-4
290,52000,-4,-4,-4,-4
291,-4,-4,-4,-4,-4
292,-4,-4,-4,-4,-4
293,155608,-4,-4,-4,-4
294,70000,-4,-4,-4,-4
295,-5,-5,-5,-5,-5
296,0,-4,-4,-4,-4
297,-2,100000,466667,-4,-4
298,80000,-4,-4,-4,-4
299,-5,-5,-5,-5,-5
300,-5,-5,-5,-5,-5
301,-1,-4,-4,-4,-4
302,-4,-4,-4,-4,-4
303,-4,-4,-4,-4,-4
304,-4,-4,-4,-4,-4
305,-5,-5,-5,-5,-5
306,-5,-5,-5,-5,-5
307,-4,-4,-4,-4,-4
308,-5,-5,-5,-5,-5
309,0,-4,-4,-4,-4
310,100000,-4,-4,-4,-4
311,-4,-4,-4,-4,-4
312,-4,-4,-4,-4,-4
313,9000,-4,-4,-4,-4
314,-5,-5,-5,-5,-5
315,-5,-5,-5,-5,-5
316,0,-4,-4,-4,-4
317,-1,-4,-4,-4,-4
318,-5,-5,-5,-5,-5
319,-4,-4,-4,-4,-4
320,100000,-4,-4,-4,-4
321,-5,-5,-5,-5,-5
322,-5,-5,-5,-5,-5
323,80000,-4,-4,-4,-4
324,-5,-5,-5,-5,-5
325,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5
327,-5,-5,-5,-5,-5
328,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5
331,-4,-4,-4,-4,-4
332,-4,-4,-4,-4,-4
333,0,-4,-4,-4,-4
334,-5,-5,-5,-5,-5
335,-4,-4,-4,-4,-4
336,15000,-4,-4,-4,-4
337,-5,-5,-5,-5,-5
338,-4,-4,-4,-4,-4
339,-4,-4,-4,-4,-4
340,-1,-4,-4,-4,-4
341,407895,-4,-4,-4,-4
342,60000,-4,-4,-4,-4
343,-4,-4,-4,-4,-4
344,-5,-5,-5,-5,-5
345,-5,-5,-5,-5,-5
346,0,-4,-4,-4,-4
347,65000,-4,-4,-4,-4
348,52000,-4,-4,-4,-4
349,0,-4,-4,-4,-4
350,6000,-4,-4,-4,-4
351,-5,-5,-5,-5,-5
352,-4,-4,-4,-4,-4
353,-5,-5,-5,-5,-5
354,105000,-4,-4,-4,-4
355,40000,-4,-4,-4,-4
356,0,-4,-4,-4,-4
357,27000,-4,-4,-4,-4
358,35000,-4,-4,-4,-4
359,-5,-5,-5,-5,-5
360,50000,-4,-4,-4,-4
361,-5,-5,-5,-5,-5
362,-4,-4,-4,-4,-4
363,-4,-4,-4,-4,-4
364,-5,-5,-5,-5,-5
365,-1,-4,-4,-4,-4
366,-5,-5,-5,-5,-5
367,0,-4,-4,-4,-4
368,-5,-5,-5,-5,-5
369,407895,-4,-4,-4,-4
370,55000,-4,-4,-4,-4
371,-5,-5,-5,-5,-5
372,-1,-4,-4,-4,1
373,0,-4,-4,-4,-4
374,-5,-5,-5,-5,-5
375,-5,-5,-5,-5,-5
376,-4,-4,-4,-4,-4
377,-5,-5,-5,-5,-5
378,-5,-5,-5,-5,-5
379,-4,-4,-4,-4,-4
380,-4,-4,-4,-4,-4
381,-5,-5,-5,-5,-5
382,-5,-5,-5,-5,-5
383,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5
385,0,-4,-4,-4,-4
386,-1,-4,-4,-4,-4
387,-4,-4,-4,-4,-4
388,-4,-4,-4,-4,-4
389,-5,-5,-5,-5,-5
390,-5,-5,-5,-5,-5
391,-4,-4,-4,-4,-4
392,-2,20000,40000,-4,-4
393,30000,-4,-4,-4,-4
394,-4,-4,-4,-4,-4
395,-2,-2,-2,1,-4
