R0000100,R0011500,R0225400,R0413000,R0658800,R0902700,R1202500,R1601800,R1901800,R2301800,R2502900,R2902900,R3103300,R3503300,R3703300,R7101001,T0011801,spouse_birth_year
187,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
188,-4,-4,-4,-4,-4,51,-5,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,51
189,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
190,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-1904,-1904,-3
191,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,61,-1904,-1904,61
192,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1904,-1904,63
193,-4,-4,-4,-4,-4,-4,54,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,54
194,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-1904,-1905,64
195,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,64,-1904,-1904,64
196,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,-4,-1904,-1905,65
197,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1904,-1904,63
198,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-1904,-1904,-4
199,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-1904,-1904,-4
200,56,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,56
201,-4,-4,-4,-4,-4,-4,67,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,67
202,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
203,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-3,-4,-4,-1905,-1905,-3
204,55,-4,-5,-5,-4,-5,-5,-5,57,-4,-4,-4,-4,-4,-1905,-1905,57
205,54,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,54
206,-4,-4,-5,-4,62,-5,-5,-4,-5,-5,-5,-5,-5,-5,-1905,-1905,62
207,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-4,-1904,-1904,64
208,-4,-4,-4,-4,51,-4,-4,-4,-5,-4,-4,-4,-4,-4,-1905,-1905,51
209,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
210,-4,-4,-5,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1904,-1904,63
211,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
212,-4,-4,-4,-4,-4,-4,-4,66,-4,-4,-4,-4,-4,-4,-1904,-1904,66
213,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
214,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
215,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,-5,-5,-5,-5,-1905,-1905,57
216,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
217,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
218,-4,-4,-4,-4,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,58
219,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
220,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
221,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
222,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
223,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,66,74,-1904,74
224,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
225,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
226,-4,-5,-4,65,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,65
227,-4,-4,-4,-4,49,-4,-4,-4,-4,-4,-4,-4,-4,-4,59,-1904,59
228,-4,51,-5,-4,-4,-4,-4,-4,61,-4,-4,-4,-4,-4,-1904,-1904,61
229,-4,-4,-4,54,-4,-4,-4,-4,55,-4,-4,-4,-4,-4,-1904,-1904,55
230,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
231,-4,-4,-4,-4,-4,57,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,57
232,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
233,-4,-4,-4,-4,-4,-4,-4,67,-4,-4,-4,-4,-4,-4,-1904,-1904,67
234,-4,-4,62,-4,-4,-4,-4,61,-4,-4,-5,-4,-4,-4,-1904,-1904,62
235,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-4,-4,-1904,-1904,64
236,-4,-4,-4,-4,-4,-4,-4,-4,60,-4,-4,-4,-4,-4,-1904,-1904,60
237,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-3
238,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
239,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
240,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,53,-4,-4,-4,-1904,-1904,53
241,-4,-4,-4,-4,-4,-4,-4,-4,-4,68,-4,-5,-5,-5,-1905,-1905,68
242,-4,-4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,52,55
243,-4,-4,-4,-4,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,60
244,56,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,51,-4,-4,-1904,-1904,56
245,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-1904,-1904,64
246,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1905,-1905,63
247,-4,-4,-4,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,59
248,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,63
249,-4,-4,-4,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,59
250,-4,57,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-1904,-1904,57
251,-4,-5,-4,-4,-4,-4,-4,-4,-4,-5,61,-4,-4,-4,-1904,-1904,61
252,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,52,-4,-1904,-1904,52
