,,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income
age,,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
code,spouse_birthyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52836.06314923038,62160.969236881625,60378.794348421434,,58669.64125754549,,69281.46921243968,,58907.38405757002,,61574.407002445696,,65194.39637492358,,,,,,,,,,,,22999.98522480949,,,,,,,,,,,,,,
94,1951.0,,,,,,,,,,,,,,,,,36488.98977664803,11936.437315845988,,,17589.849421372845,16688.985266669915,17612.02104974346,,19019.32021975275,,18888.76255120977,,,,39271.58937171335,,34481.66792136959,,,,,,,,25410.01086087186,,,,,,18859.987884343784,,,,,,,,,,,,,,,,,,,
95,1956.0,,,,,,,,,,63490.05521856206,62971.26584175508,60814.982961080044,63660.999017845264,69086.891090137,62692.300749915485,52769.54826411853,66755.94106667966,64043.712908158035,93241.45385532244,60378.794348421434,,61531.57497742576,,69281.46921243968,,70688.86086908403,,,,,,,,,,,,,,,,82799.94680931416,,,,85292.06889393512,,,,,,,,,,,,,,,,,,,,
97,1955.0,,,,,,,,,,,,,44597.65417145869,43766.936824768614,47977.00770148402,55316.73595580779,58046.50309053038,50066.95580000974,48032.78468111853,49728.7753895053,49812.50533744768,,51514.80695784483,,57055.32758671503,,62834.542994741365,,64037.38328254353,,59267.63306811234,,60294.41604579867,,60996.77626589791,,59967.62563165758,,63010.84735808739,,65522.30470094015,,68999.95567442848,,,,,,,,,,,,,,,,,,,,,,,
98,1957.0,,,,,,,7194.572449078363,6778.927460399887,1050.869879479648,12594.253168351015,10541.263713253875,,1919.080308059361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1955.0,,,,,,,,,43167.434694470176,,,41980.843894503385,56760.65076367471,,53734.24862566211,59004.51835286165,61564.47297480495,58411.448433344696,56038.24879463828,54390.84808227142,67926.14364197411,,,,47546.10632226253,,49744.013204170245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1958.0,,,,,,,19432.925386479674,,,,,,,,,,,,,,,,,,,,,14224.231936346961,,,,,,8131.203475478995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1965.0,,,,,,,,,24016.392340559265,38850.605773051015,,,,,,,,,,,,,,,,,,,,,7020.246932243587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1957.0,,,,,,,,,,,,,,,,43391.36169334177,44830.59903571063,,,,75841.24357682711,,86941.45156070862,,317263.38905726065,,123148.81400489139,,2370.7053227244937,,16748.448901610744,,21033.371126171696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1957.0,,,,,,,,,,,116314.7364113617,69629.21767576826,,,,,38426.22774489482,38850.605773051015,39246.216326473936,,,,88299.9117413447,,89015.6025758836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1970.0,11063.347191161556,,40888.013903341285,38426.22774489482,34188.53308028489,39246.216326473936,,60100.60811748562,,67923.00903180361,,75925.07278531248,,73889.28840293484,,,,2679.751824257719,,27343.382464023205,,30492.01303304623,,33928.9178082009,,,,27599.98226977139,,26687.647356345267,,34116.827557574055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1962.0,,,,,,,,,,,55073.651380010706,52836.06314923038,54390.84808227142,30189.397174210717,,32912.23777862308,,23093.823070813225,,52362.11916228446,,67731.84770269027,,65194.39637492358,,61410.97930590606,,63100.11337851508,,50820.02172174372,,58163.85909977298,,65522.30470094015,,50599.96749458088,,48927.353486633,,46910.63789166432,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1954.0,,,,,,,,,,,,36342.58333200449,27287.5485314272,,4973.515548269162,23028.96369671233,22126.694382323112,14071.879537098275,20026.782320003895,19213.11387244741,13364.608385929549,13736.175714265877,,12878.701739461207,,16301.522167632866,,15708.635748685341,,14777.857680586967,,14224.231936346961,,29030.644762791955,,12620.022675703018,,,,38775.906066515316,,38377.34989626495,,36799.97635969519,,37362.70629888338,,35822.668935452755,,,,,,,,,,,,,,,,,,
