"R0000100","R0006500","R0007900","T9900000"
1300,8,-2,12
1301,12,0,14
1302,9,6,8
1303,12,-3,18
1304,12,16,16
1305,12,12,16
1306,12,7,12
1307,9,-2,12
1308,10,12,12
1309,12,12,13
1310,12,12,18
1311,11,11,16
1312,10,7,12
1313,12,9,12
1314,12,12,11
1315,14,17,15
1316,9,7,9
1317,8,8,8
1318,6,3,8
1319,6,3,12
1320,11,11,13
1321,8,14,13
1322,8,12,12
1323,12,12,17
1324,13,14,15
1325,12,8,16
1326,12,8,16
1327,12,11,13
1328,12,-2,12
1329,9,8,9
1330,10,9,10
1331,16,20,16
1332,16,20,18
1333,8,0,12
1334,10,11,12
1335,10,11,12
1336,4,4,12
1337,6,9,8
1338,12,8,13
1339,5,-2,12
1340,11,4,12
1341,8,-2,12
1342,9,3,9
1343,12,7,14
1344,12,4,18
1345,10,12,12
1346,11,12,12
1347,12,12,16
1348,-3,7,20
1349,11,12,13
1350,11,12,13
1351,11,12,12
1352,12,-2,12
1353,12,12,12
1354,12,14,12
1355,12,16,16
1356,12,16,16
1357,12,12,12
1358,12,12,14
1359,14,16,18
1360,11,8,12
1361,10,10,13
1362,14,14,20
1363,12,12,16
1364,14,20,16
1365,9,11,13
1366,12,16,12
1367,12,16,16
1368,12,16,16
1369,11,11,12
1370,11,11,12
1371,14,16,12
1372,14,16,16
1373,16,16,13
1374,16,16,16
1375,11,-2,15
1376,10,-2,17
1377,10,-2,19
1378,10,-2,15
1379,12,11,15
1380,8,9,12
1381,12,12,12
1382,12,8,15
1383,12,10,12
1384,12,10,12
1385,12,10,13
1386,14,12,12
1387,10,-4,12
1388,10,-4,12
1389,12,12,19
1390,12,12,12
1391,3,3,10
1392,6,10,7
1393,12,16,15
1394,11,10,16
1395,12,12,20
1396,12,10,12
1397,8,8,12
1398,12,12,16
1399,10,16,14
1400,6,-2,8
1401,2,-3,8
1402,13,-2,17
1403,12,11,20
1404,12,10,14
1405,12,-2,9
1406,-2,-2,13
1407,12,13,12
1408,12,16,14
1409,-2,11,12
1410,11,12,12
1411,9,7,14
1412,11,12,12
1413,9,8,11
1414,8,7,8
1415,-2,8,12
1416,9,12,12
1417,9,12,12
1418,9,12,12
1419,9,10,14
1420,12,12,12
1421,12,12,13
1422,12,12,12
1423,10,10,12
1424,13,12,12
1425,12,14,12
1426,13,15,12
1427,16,20,14
1428,12,16,12
1429,10,20,16
1430,10,20,16
1431,12,12,12
1432,11,12,16
1433,11,12,17
1434,6,4,12
1435,11,-2,12
1436,11,4,11
1437,11,4,10
1438,10,9,12
1439,10,9,14
1440,11,9,13
1441,6,-4,7
1442,8,-4,12
1443,12,-4,19
1444,10,11,13
1445,10,11,12
1446,12,-4,16
1447,12,11,13
1448,7,-4,13
1449,-2,-2,12
